campagne,month,month_order,calendar_ym,dept_code,monthly_sortie_hl
2022-2023,7,12,2023-07-01,13,64478.0
2023-2024,8,1,2023-08-01,13,52420.0
2023-2024,9,2,2023-09-01,13,42736.0
2023-2024,10,3,2023-10-01,13,30739.0
2023-2024,11,4,2023-11-01,13,30685.0
2023-2024,12,5,2023-12-01,13,35667.0
2023-2024,1,6,2024-01-01,13,71237.0
2023-2024,2,7,2024-02-01,13,68289.0
2023-2024,3,8,2024-03-01,13,63764.0
2023-2024,4,9,2024-04-01,13,74461.0
2023-2024,5,10,2024-05-01,13,64954.0
2023-2024,6,11,2024-06-01,13,57110.0
2023-2024,7,12,2024-07-01,13,64638.0
2024-2025,8,1,2024-08-01,13,48659.0
2024-2025,9,2,2024-09-01,13,30630.0
2024-2025,10,3,2024-10-01,13,23823.0
2024-2025,11,4,2024-11-01,13,43879.0
2024-2025,12,5,2024-12-01,13,58154.0
2024-2025,1,6,2025-01-01,13,59534.0
2024-2025,2,7,2025-02-01,13,51157.0
2024-2025,3,8,2025-03-01,13,51157.0
2024-2025,4,9,2025-04-01,13,62220.0
2024-2025,5,10,2025-05-01,13,49505.0
2024-2025,6,11,2025-06-01,13,49505.0
2024-2025,7,12,2025-07-01,13,62110.0
2019-2020,8,1,2019-08-01,83,87580.0
2019-2020,9,2,2019-09-01,83,57135.0
2019-2020,10,3,2019-10-01,83,40853.0
2019-2020,11,4,2019-11-01,83,36524.0
2019-2020,12,5,2019-12-01,83,88835.0
2019-2020,1,6,2020-01-01,83,139615.0
2019-2020,2,7,2020-02-01,83,134361.0
2019-2020,3,8,2020-03-01,83,117894.0
2019-2020,4,9,2020-04-01,83,121507.0
2019-2020,5,10,2020-05-01,83,128028.0
2019-2020,6,11,2020-06-01,83,192827.0
2019-2020,7,12,2020-07-01,83,175795.0
2020-2021,8,1,2020-08-01,83,124455.0
2020-2021,9,2,2020-09-01,83,75410.0
2020-2021,10,3,2020-10-01,83,38013.0
2020-2021,11,4,2020-11-01,83,43691.0
2020-2021,12,5,2020-12-01,83,87966.0
2020-2021,1,6,2021-01-01,83,131652.0
2020-2021,2,7,2021-02-01,83,140327.0
2020-2021,3,8,2021-03-01,83,195246.0
2020-2021,4,9,2021-04-01,83,171494.0
2020-2021,5,10,2021-05-01,83,175581.0
2020-2021,6,11,2021-06-01,83,188547.0
2020-2021,7,12,2021-07-01,83,153737.0
2021-2022,8,1,2021-08-01,83,110192.0
2021-2022,9,2,2021-09-01,83,70102.0
2021-2022,10,3,2021-10-01,83,47313.0
2021-2022,11,4,2021-11-01,83,69512.0
2021-2022,12,5,2021-12-01,83,96701.0
2021-2022,1,6,2022-01-01,83,160381.0
2021-2022,2,7,2022-02-01,83,168033.0
2021-2022,3,8,2022-03-01,83,200101.0
2021-2022,4,9,2022-04-01,83,178372.0
2021-2022,5,10,2022-05-01,83,190556.0
2021-2022,6,11,2022-06-01,83,213914.0
2021-2022,7,12,2022-07-01,83,166602.0
2022-2023,8,1,2022-08-01,83,142473.0
2022-2023,9,2,2022-09-01,83,79115.0
2022-2023,10,3,2022-10-01,83,58129.0
2022-2023,11,4,2022-11-01,83,63466.0
2022-2023,12,5,2022-12-01,83,112083.0
2022-2023,1,6,2023-01-01,83,157221.0
2022-2023,2,7,2023-02-01,83,151036.0
2022-2023,3,8,2023-03-01,83,195881.0
2022-2023,4,9,2023-04-01,83,175974.0
2022-2023,5,10,2023-05-01,83,172843.0
2022-2023,6,11,2023-06-01,83,193940.0
2022-2023,7,12,2023-07-01,83,167646.0
2023-2024,8,1,2023-08-01,83,121884.0
2023-2024,9,2,2023-09-01,83,60177.0
2023-2024,10,3,2023-10-01,83,55140.0
2023-2024,11,4,2023-11-01,83,65575.0
2023-2024,12,5,2023-12-01,83,87756.0
2023-2024,1,6,2024-01-01,83,160633.0
2023-2024,2,7,2024-02-01,83,173632.0
2023-2024,3,8,2024-03-01,83,188324.0
2023-2024,4,9,2024-04-01,83,193294.0
2023-2024,5,10,2024-05-01,83,170040.0
2023-2024,6,11,2024-06-01,83,179213.0
2023-2024,7,12,2024-07-01,83,175194.0
2024-2025,8,1,2024-08-01,83,113016.0
2024-2025,9,2,2024-09-01,83,66767.0
2024-2025,10,3,2024-10-01,83,55523.0
2024-2025,11,4,2024-11-01,83,75899.0
2024-2025,12,5,2024-12-01,83,109272.0
2024-2025,1,6,2025-01-01,83,169774.0
2024-2025,2,7,2025-02-01,83,152509.0
2024-2025,3,8,2025-03-01,83,152509.0
2024-2025,4,9,2025-04-01,83,195179.0
2024-2025,5,10,2025-05-01,83,162388.0
2024-2025,6,11,2025-06-01,83,162388.0
2024-2025,7,12,2025-07-01,83,197146.0
