"Country or Area","Year","Commodity","Flow","Trade (USD)","Weight (kg)","Quantity Name","Quantity"
"France","2024","Wine; sparkling","Export","4657652100.617","218124647.52","Volume in litres","207671287.642"
"France","2024","Wine; sparkling","Import","175430054.784","42102658.929","Volume in litres","41961721"
"France","2024","Wine; still, in containers holding 2 litres or less","Import","509956684.943","","No Quantity",""
"France","2024","Wine; still, in containers holding 2 litres or less","Export","7643318162.424","929651074.929","Volume in litres","903189036.359"
"France","2024","Wine; still, in containers holding more than 2 litres but not more than 10 litres","Export","164376954.378","","No Quantity",""
"France","2024","Wine; still, in containers holding more than 2 litres but not more than 10 litres","Import","24483683.047","","No Quantity",""
"France","2024","Wine; still, in containers holding more than 10 litres","Export","192576872.754","128673393.538","No Quantity",""
"France","2024","Wine; still, in containers holding more than 10 litres","Import","251981314.321","387127024.113","Volume in litres","381330156.904"
"France","2023","Wine; sparkling","Export","4898519942.5","221252524","Volume in litres","209972752"
"France","2023","Wine; sparkling","Import","176597214.488","39549894","Volume in litres","39520371"
"France","2023","Wine; still, in containers holding 2 litres or less","Import","582034091.6","","No Quantity",""
"France","2023","Wine; still, in containers holding 2 litres or less","Export","7534701498.392","912741357","Volume in litres","893018672.356"
"France","2023","Wine; still, in containers holding more than 2 litres but not more than 10 litres","Export","152717208.875","53688431.803","Volume in litres","44464755.923"
"France","2023","Wine; still, in containers holding more than 2 litres but not more than 10 litres","Import","20532101.698","19526421.811","Volume in litres","17255815.398"
"France","2023","Wine; still, in containers holding more than 10 litres","Import","250147836.224","","No Quantity",""
"France","2023","Wine; still, in containers holding more than 10 litres","Export","191934704.945","116611856","Volume in litres","114787764.482"
"France","2022","Wine; sparkling","Export","4887704117.263","249669602","Volume in litres","237054479"
"France","2022","Wine; sparkling","Import","138787875.244","35929415","Volume in litres","35764602"
"France","2022","Wine; still, in containers holding 2 litres or less","Import","616986023.704","101635982.795","Volume in litres","100236749.101"
"France","2022","Wine; still, in containers holding 2 litres or less","Export","7707637913.587","1029054651.448","Volume in litres","1005411807.844"
"France","2022","Wine; still, in containers holding more than 2 litres but not more than 10 litres","Export","140212680.579","48122857.367","Volume in litres","43296375.546"
"France","2022","Wine; still, in containers holding more than 2 litres but not more than 10 litres","Import","18496601.213","19335984.004","Volume in litres","16292113.944"
"France","2022","Wine; still, in containers holding more than 10 litres","Export","195626056.054","","No Quantity",""
"France","2022","Wine; still, in containers holding more than 10 litres","Import","266282921.216","464020285.529","Volume in litres","459116270.726"
"France","2021","Wine; sparkling","Export","4630034827.776","241487829","Volume in litres","226356613"
"France","2021","Wine; sparkling","Import","135554998.812","33991266","Volume in litres","33953083"
"France","2021","Wine; still, in containers holding 2 litres or less","Export","8046984871.454","1057017711.938","Volume in litres","1024462142.989"
"France","2021","Wine; still, in containers holding 2 litres or less","Import","588780987.436","98808344.267","Volume in litres","99579226.625"
"France","2021","Wine; still, in containers holding more than 2 litres but not more than 10 litres","Export","155612241.339","","No Quantity",""
"France","2021","Wine; still, in containers holding more than 2 litres but not more than 10 litres","Import","18481562.769","19235850.942","Volume in litres","16549136.383"
"France","2021","Wine; still, in containers holding more than 10 litres","Export","265099584.581","164788838.98","Volume in litres","163948617.238"
"France","2021","Wine; still, in containers holding more than 10 litres","Import","229294549.861","443995118.186","Volume in litres","441022406.131"
"France","2020","Wine; sparkling","Export","3188494725.258","191312948","Volume in litres","170557467"
"France","2020","Wine; sparkling","Import","106055921.993","32450238","Volume in litres","28627316"
