"Country or Area","Year","Commodity","Flow","Trade (USD)","Weight (kg)","Quantity Name","Quantity"
"Argentina","2024","Wine; sparkling","Import","3512239.7","125960.45","Volume in litres","126234.6"
"Argentina","2024","Wine; sparkling","Export","12734855.98","3039558.38","Volume in litres","3039472.38"
"Argentina","2024","Wine; still, in containers holding 2 litres or less","Import","3901525.2","204635.24","Volume in litres","204684.48"
"Argentina","2024","Wine; still, in containers holding 2 litres or less","Export","625002824.34","147142431.66","Volume in litres","147011717.35"
"Argentina","2024","Wine; still, in containers holding more than 2 litres but not more than 10 litres","Import","38376.91","529.7","Volume in litres","530"
"Argentina","2024","Wine; still, in containers holding more than 2 litres but not more than 10 litres","Export","264619.38","78002.92","Volume in litres","78003"
"Argentina","2024","Wine; still, in containers holding more than 10 litres","Import","2605075.41","5042245","Volume in litres","5044735"
"Argentina","2024","Wine; still, in containers holding more than 10 litres","Export","47931927.94","47281384","Volume in litres","47547291.4"
"Argentina","2023","Wine; sparkling","Import","3819152.99","195211.39","Volume in litres","195714.25"
"Argentina","2023","Wine; sparkling","Export","16241291.86","3550209.97","Volume in litres","3546439.6"
"Argentina","2023","Wine; still, in containers holding 2 litres or less","Import","2532131.6","148959.78","Volume in litres","149070.16"
"Argentina","2023","Wine; still, in containers holding 2 litres or less","Export","614864848.02","145749131.9","Volume in litres","145681933.7"
"Argentina","2023","Wine; still, in containers holding more than 2 litres but not more than 10 litres","Export","1287916.52","342808","Volume in litres","342808"
"Argentina","2023","Wine; still, in containers holding more than 10 litres","Import","789367.2","726948","Volume in litres","732000"
"Argentina","2023","Wine; still, in containers holding more than 10 litres","Export","45037691.72","44245452","Volume in litres","44422604"
"Argentina","2022","Wine; sparkling","Import","4217886.68","229893.05","Volume in litres","229096.35"
"Argentina","2022","Wine; sparkling","Export","20550737.92","4801100.31","Volume in litres","4824005.93"
"Argentina","2022","Wine; still, in containers holding 2 litres or less","Export","737242381.61","191294155.2","Volume in litres","191214158.9"
"Argentina","2022","Wine; still, in containers holding 2 litres or less","Import","3022659.79","226442.23","Volume in litres","225221.05"
"Argentina","2022","Wine; still, in containers holding more than 2 litres but not more than 10 litres","Export","1800674.1","647512.35","Volume in litres","652236"
"Argentina","2022","Wine; still, in containers holding more than 10 litres","Export","54174778.93","61859453","Volume in litres","62080625"
"Argentina","2022","Wine; still, in containers holding more than 10 litres","Import","491402.74","423793.3","Volume in litres","424412.5"
"Argentina","2021","Wine; sparkling","Import","3702574.43","165771.273","Volume in litres","165952.875"
"Argentina","2021","Wine; sparkling","Export","11791424.19","3218308.09","Volume in litres","3216905.47"
"Argentina","2021","Wine; still, in containers holding 2 litres or less","Import","2449193.06","247664.628","Volume in litres","247581.06"
"Argentina","2021","Wine; still, in containers holding 2 litres or less","Export","753435411.09","200775508.96","Volume in litres","200591348.55"
"Argentina","2021","Wine; still, in containers holding more than 2 litres but not more than 10 litres","Import","2154.42","455","Volume in litres","120"
"Argentina","2021","Wine; still, in containers holding more than 2 litres but not more than 10 litres","Export","877089.35","411562.4","Volume in litres","411608"
"Argentina","2021","Wine; still, in containers holding more than 10 litres","Import","767171.55","728000","Volume in litres","728000"
"Argentina","2021","Wine; still, in containers holding more than 10 litres","Export","61937423.79","84992807.9","Volume in litres","85406682"
"Argentina","2020","Wine; sparkling","Import","3122087.26","107758.1","Volume in litres","107997.2"
