"Country or Area","Year","Commodity","Flow","Trade (USD)","Weight (kg)","Quantity Name","Quantity"
"Canada","2024","Wine; sparkling","Import","225049395.89","21573180.21","Volume in litres","21573180"
"Canada","2024","Wine; sparkling","Re-Export","191703.454","15090","Volume in litres","15090"
"Canada","2024","Wine; sparkling","Export","2020882.338","263894","Volume in litres","263894"
"Canada","2024","Wine; still, in containers holding 2 litres or less","Export","20184418.541","1170306","Volume in litres","1170306"
"Canada","2024","Wine; still, in containers holding 2 litres or less","Import","1757546405.444","247233310.264","Volume in litres","247233289"
"Canada","2024","Wine; still, in containers holding 2 litres or less","Re-Export","8072108.685","244472","Volume in litres","244472"
"Canada","2024","Wine; still, in containers holding more than 2 litres but not more than 10 litres","Re-Export","180373.342","23254","Volume in litres","23254"
"Canada","2024","Wine; still, in containers holding more than 2 litres but not more than 10 litres","Export","601901.713","383269","Volume in litres","383269"
"Canada","2024","Wine; still, in containers holding more than 2 litres but not more than 10 litres","Import","30347341.513","10264564.362","Volume in litres","10264553"
"Canada","2024","Wine; still, in containers holding more than 10 litres","Import","70294935.757","98557276.167","Volume in litres","98557269"
"Canada","2024","Wine; still, in containers holding more than 10 litres","Export","58481004.754","202906460","Volume in litres","202906460"
"Canada","2024","Wine; still, in containers holding more than 10 litres","Re-Export","146.054","62","Volume in litres","62"
"Canada","2023","Wine; sparkling","Re-Export","187676.404","6657","Volume in litres","6657"
"Canada","2023","Wine; sparkling","Export","1770202.752","205931","Volume in litres","205931"
"Canada","2023","Wine; sparkling","Import","222878073.253","20998119.326","Volume in litres","20998118"
"Canada","2023","Wine; still, in containers holding 2 litres or less","Export","26648995.928","1466110.571","Volume in litres","1466110"
"Canada","2023","Wine; still, in containers holding 2 litres or less","Import","1677390455.545","242254174.101","Volume in litres","242254145"
"Canada","2023","Wine; still, in containers holding 2 litres or less","Re-Export","11207357.66","379726","Volume in litres","379726"
"Canada","2023","Wine; still, in containers holding more than 2 litres but not more than 10 litres","Import","28245572.116","9236039.956","Volume in litres","9236023"
"Canada","2023","Wine; still, in containers holding more than 2 litres but not more than 10 litres","Export","876649.693","548619","Volume in litres","548619"
"Canada","2023","Wine; still, in containers holding more than 2 litres but not more than 10 litres","Re-Export","72513.055","7075","Volume in litres","7075"
"Canada","2023","Wine; still, in containers holding more than 10 litres","Import","66785116.381","102608287.499","Volume in litres","102608201"
"Canada","2023","Wine; still, in containers holding more than 10 litres","Export","64236089.814","223634567","Volume in litres","223634567"
"Canada","2022","Wine; sparkling","Re-Export","131816.964","2890","Volume in litres","2890"
"Canada","2022","Wine; sparkling","Import","249047505.309","23502322.538","Volume in litres","23502320"
"Canada","2022","Wine; sparkling","Export","1545773.586","204159","Volume in litres","204159"
"Canada","2022","Wine; still, in containers holding 2 litres or less","Re-Export","8310586.051","104537","Volume in litres","104537"
"Canada","2022","Wine; still, in containers holding 2 litres or less","Export","25638485.226","996012","Volume in litres","996012"
"Canada","2022","Wine; still, in containers holding 2 litres or less","Import","1918355085.955","281901312.548","Volume in litres","281901236"
"Canada","2022","Wine; still, in containers holding more than 2 litres but not more than 10 litres","Import","27358243.038","8538359.6","Volume in litres","8538315"
"Canada","2022","Wine; still, in containers holding more than 2 litres but not more than 10 litres","Re-Export","122308.336","18035","Volume in litres","18035"
"Canada","2022","Wine; still, in containers holding more than 2 litres but not more than 10 litres","Export","949290.817","756378","Volume in litres","756378"
"Canada","2022","Wine; still, in containers holding more than 10 litres","Import","75531192.006","104001666.757","Volume in litres","104001452"
