campagne,dept_code,stock_production_total,stock_aop_total,stock_igp_total,stock_vsig_total,stock_rose_total,stock_rouge_total,stock_blanc_total,nb_declarants,prod_commercialisable,prod_total,prod_aop_total,prod_igp_total,prod_vsig_total,prod_rose_total,superficie_totale_ha,annual_sortie_hl,stock_commerce,stock_start,implied_absorption,gap_sortie_vs_absorption,stock_turnover_months,stock_to_sortie_ratio,yield_hl_per_ha,rose_pct_production,rose_pct_stock
2023-2024,02,237866.12,235364.26,0.0,2501.86,11711.78,428.0,225726.34,272.0,228653.96000000034,237324.65999999997,226929.89000000033,0.0,1724.0700000000002,17.49,2481.4584999999984,130225.0,,261146.49,251934.3300000003,-121709.33000000031,21.918935995392587,1.8265779996160492,92.14498650692748,0.007649113096488673,4.923685642999516
2024-2025,02,239684.76,237345.7,0.0,2339.06,11823.39,276.51,227584.86000000002,284.0,135510.1100000001,136504.75000000017,134496.9100000001,0.0,1013.2000000000002,4.02,2466.3793000000005,122871.0,,237866.12,133691.4700000001,-10820.470000000088,23.408429328319947,1.9507024440266623,54.94293193265126,0.002966568324680717,4.932891853449505
2019-2020,03,24796.48,22887.57,662.79,1246.1200000000001,2442.98,17186.91,5166.59,24.0,15984.85,16330.25,14742.35,627.69,614.81,2408.8100000000004,602.5896,19244.0,,,,,15.462365412596133,1.2885304510496778,26.526926452099406,15.069331273049173,9.852124172463189
2020-2021,03,27722.630000000005,25505.160000000003,807.78,1409.6899999999998,2423.3199999999997,19200.420000000002,6098.890000000001,25.0,23467.669999999995,24011.259999999995,21548.21,1001.56,917.9000000000001,2651.79,612.6073999999999,20763.0,,24796.48,20541.51999999999,221.48000000001048,16.022326253431586,1.3351938544526323,38.30784610176109,11.299758348400163,8.741306290204065
2021-2022,03,22866.690000000002,20905.83,504.06,1456.8,2062.88,16774.77,4029.04,25.0,14357.339999999998,14645.309999999998,13219.149999999998,444.09000000000003,694.1,2304.21,603.2446,20029.0,,27722.630000000005,19213.28,815.7200000000012,13.70014878426282,1.1416790653552351,23.80019647088428,16.04900350622051,9.021331902431003
2022-2023,03,27462.410000000003,25004.58,889.4100000000001,1568.4199999999998,2847.39,18798.87,5816.15,25.0,25016.1,25636.219999999998,22612.119999999995,1288.2,948.88,3132.1900000000005,604.6834999999999,20156.0,,22866.690000000002,20420.379999999997,-264.3799999999974,16.349916650128996,1.3624930541774163,41.37056823941782,12.520696671343657,10.368318002680752
2023-2024,03,33473.35,30649.04,1188.87,1635.44,2900.2400000000002,22829.68,7743.43,26.0,26956.52,27877.52000000002,23721.96,1269.82,1513.87,2763.29,588.4857999999999,18545.0,,27462.410000000003,20945.58000000001,-2400.580000000009,21.659757346993796,1.80497977891615,45.806576811199186,10.250915177478397,8.664325500734167
2024-2025,03,30559.969999999998,28194.649999999998,795.96,1569.3600000000001,2567.6900000000005,21407.17,6585.11,26.0,15973.93,16360.870000000003,14786.28,402.3,785.3499999999999,1601.2199999999998,576.7846999999998,19140.0,,33473.35,18887.31,252.6899999999987,19.15985579937304,1.5966546499477532,27.694788020556032,10.023957786217917,8.40213521152017
2019-2020,04,21472.679999999997,9089.739999999998,9942.43,2440.51,10259.49,9351.279999999999,1861.9099999999999,11.0,36039.02,37282.88,13345.5,19872.75,2820.77,22971.839999999997,714.8342,40549.0,,,,,6.354587289452266,0.5295489407876889,50.41591462747585,63.74157787864375,47.77927114826841
2020-2021,04,25209.030000000006,9409.98,13406.570000000002,2392.48,12103.220000000001,10401.99,2703.82,11.0,42904.630000000005,44451.00000000001,12817.39,26201.28,3885.96,27156.699999999997,697.4043,48616.0,,21472.679999999997,39168.27999999999,9447.720000000008,6.222403324008559,0.5185336103340465,61.52045520797621,63.29549980969419,48.01144669191952
