,_section,Argentina,Australia,Chile,France,Italy,South Africa,Spain,USA,Still_Bottled,Still_Bulk,Sparkling,Still_2to10L,trade,vol,unit_price,avg_price,avg_rating,count,under_10,10_15,15_20,20_30,30_50,50_100,100_plus,mean,50%,std
Portugal,a3_category_structure_volume,,,,,,,,,73.05,17.19,0.77,8.98,,,,,,,,,,,,,,,,
Spain,a3_category_structure_volume,,,,,,,,,73.98,0.0,18.02,7.99,,,,,,,,,,,,,,,,
Argentina,a3_category_structure_volume,,,,,,,,,74.37,24.05,1.54,0.04,,,,,,,,,,,,,,,,
Netherlands,a3_category_structure_volume,,,,,,,,,77.31,1.7,11.15,9.84,,,,,,,,,,,,,,,,
China,a3_category_structure_volume,,,,,,,,,84.56,1.54,5.48,8.42,,,,,,,,,,,,,,,,
Australia,a3_category_structure_volume,,,,,,,,,87.9,0.0,4.69,7.41,,,,,,,,,,,,,,,,
Macao,a3_category_structure_volume,,,,,,,,,99.27,0.0,0.4,0.33,,,,,,,,,,,,,,,,
Canada,a3_category_structure_value,,,,,,,,,24.83,71.94,2.49,0.74,,,,,,,,,,,,,,,,
France,a3_category_structure_value,,,,,,,,,60.38,1.52,36.8,1.3,,,,,,,,,,,,,,,,
Spain,a3_category_structure_value,,,,,,,,,61.92,17.88,17.27,2.93,,,,,,,,,,,,,,,,
Italy,a3_category_structure_value,,,,,,,,,65.45,3.75,29.47,1.33,,,,,,,,,,,,,,,,
New Zealand,a3_category_structure_value,,,,,,,,,68.0,31.1,0.8,0.1,,,,,,,,,,,,,,,,
South Africa,a3_category_structure_value,,,,,,,,,68.33,21.72,5.04,4.91,,,,,,,,,,,,,,,,
Netherlands,a3_category_structure_value,,,,,,,,,72.5,0.94,21.89,4.67,,,,,,,,,,,,,,,,
Australia,a3_category_structure_value,,,,,,,,,77.24,18.49,3.29,0.98,,,,,,,,,,,,,,,,
Germany,a3_category_structure_value,,,,,,,,,78.68,1.1,14.25,5.97,,,,,,,,,,,,,,,,
USA,a3_category_structure_value,,,,,,,,,80.21,14.24,3.31,2.23,,,,,,,,,,,,,,,,
Chile,a3_category_structure_value,,,,,,,,,81.54,15.37,1.04,2.05,,,,,,,,,,,,,,,,
United Kingdom,a3_category_structure_value,,,,,,,,,84.45,0.5,13.63,1.41,,,,,,,,,,,,,,,,
Japan,a3_category_structure_value,,,,,,,,,86.6,1.16,9.15,3.09,,,,,,,,,,,,,,,,
China,a3_category_structure_value,,,,,,,,,87.53,0.1,10.57,1.8,,,,,,,,,,,,,,,,
Portugal,a3_category_structure_value,,,,,,,,,89.55,4.78,1.27,4.4,,,,,,,,,,,,,,,,
Argentina,a3_category_structure_value,,,,,,,,,91.12,6.99,1.86,0.04,,,,,,,,,,,,,,,,
Hong Kong,a3_category_structure_value,,,,,,,,,93.92,0.0,6.04,0.04,,,,,,,,,,,,,,,,
Macao,a3_category_structure_value,,,,,,,,,99.06,0.0,0.92,0.01,,,,,,,,,,,,,,,,
USA,a4_import_market,,,,,,,,,,,,,7106004217.0,1226502740.311,5.794,,,,,,,,,,,,,
United Kingdom,a4_import_market,,,,,,,,,,,,,4960272611.231,166796636.0,29.738,,,,,,,,,,,,,
Germany,a4_import_market,,,,,,,,,,,,,2670214135.904,1241903881.0,2.15,,,,,,,,,,,,,
Canada,a4_import_market,,,,,,,,,,,,,2083238078.604,377628291.0,5.517,,,,,,,,,,,,,
Japan,a4_import_market,,,,,,,,,,,,,1641796072.839,89944321.0,18.253,,,,,,,,,,,,,
China,a4_import_market,,,,,,,,,,,,,1591749689.0,282753413.0,5.629,,,,,,,,,,,,,
Netherlands,a4_import_market,,,,,,,,,,,,,1563616026.821,390030737.0,4.009,,,,,,,,,,,,,
France,a4_import_market,,,,,,,,,,,,,961851737.095,423291877.904,2.272,,,,,,,,,,,,,
Hong Kong,a4_import_market,,,,,,,,,,,,,828999930.094,29224673.0,28.366,,,,,,,,,,,,,
Australia,a4_import_market,,,,,,,,,,,,,631279963.836,98160165.02,6.431,,,,,,,,,,,,,
Italy,a4_import_market,,,,,,,,,,,,,593696325.357,241677798.275,2.457,,,,,,,,,,,,,
Spain,a4_import_market,,,,,,,,,,,,,309871942.417,91230039.532,3.397,,,,,,,,,,,,,
France_Other,b1_competitive_position,,,,,,,,,,,,,,,,36.25,87.17,1258.0,,,,,,,,,,
Provence,b1_competitive_position,,,,,,,,,,,,,,,,22.09,88.16,825.0,,,,,,,,,,
USA,b1_competitive_position,,,,,,,,,,,,,,,,26.22,87.81,1629.0,,,,,,,,,,
Italy,b1_competitive_position,,,,,,,,,,,,,,,,21.68,87.2,1057.0,,,,,,,,,,
Spain,b1_competitive_position,,,,,,,,,,,,,,,,13.79,85.06,326.0,,,,,,,,,,
Portugal,b1_competitive_position,,,,,,,,,,,,,,,,12.57,84.64,240.0,,,,,,,,,,
Austria,b1_competitive_position,,,,,,,,,,,,,,,,23.98,88.9,127.0,,,,,,,,,,
