campagne,month,calendar_ym,dept_code,stock_commerce
2021-2022,9,2021-09-01,13,40449.0
2021-2022,9,2021-09-01,83,134101.0
2021-2022,10,2021-10-01,13,38223.0
2021-2022,10,2021-10-01,83,126134.0
2021-2022,11,2021-11-01,13,37048.0
2021-2022,11,2021-11-01,83,126420.0
2021-2022,12,2021-12-01,13,42337.0
2021-2022,12,2021-12-01,83,147935.0
2022-2023,1,2023-01-01,13,66813.0
2022-2023,1,2023-01-01,83,175718.0
2022-2023,2,2023-02-01,13,99085.0
2022-2023,2,2023-02-01,83,204060.0
2022-2023,3,2023-03-01,13,95667.0
2022-2023,3,2023-03-01,83,201380.0
2022-2023,4,2023-04-01,13,96558.0
2022-2023,4,2023-04-01,83,199223.0
2022-2023,5,2023-05-01,13,75624.0
2022-2023,5,2023-05-01,83,189430.0
2022-2023,6,2023-06-01,13,77732.0
2022-2023,6,2023-06-01,83,171788.0
2022-2023,7,2023-07-01,13,70151.0
2022-2023,7,2023-07-01,83,174319.0
2022-2023,8,2022-08-01,13,47161.0
2022-2023,8,2022-08-01,83,147772.0
2022-2023,9,2022-09-01,13,42388.0
2022-2023,9,2022-09-01,83,142757.0
2022-2023,10,2022-10-01,13,40461.0
2022-2023,10,2022-10-01,83,135407.0
2022-2023,11,2022-11-01,13,39793.0
2022-2023,11,2022-11-01,83,137977.0
2022-2023,12,2022-12-01,13,50008.0
2022-2023,12,2022-12-01,83,158060.0
2023-2024,1,2024-01-01,13,67527.0
2023-2024,1,2024-01-01,83,184089.0
2023-2024,2,2024-02-01,13,76383.0
2023-2024,2,2024-02-01,83,182494.0
2023-2024,3,2024-03-01,13,76393.0
2023-2024,3,2024-03-01,83,189199.0
2023-2024,4,2024-04-01,13,75438.0
2023-2024,4,2024-04-01,83,185181.0
2023-2024,5,2024-05-01,13,70736.0
2023-2024,5,2024-05-01,83,176421.0
2023-2024,6,2024-06-01,13,68983.0
2023-2024,6,2024-06-01,83,177708.0
2023-2024,7,2024-07-01,13,71575.0
2023-2024,7,2024-07-01,83,158467.0
2023-2024,8,2023-08-01,13,53742.0
2023-2024,8,2023-08-01,83,175306.0
2023-2024,9,2023-09-01,13,48192.0
2023-2024,9,2023-09-01,83,155655.0
2023-2024,10,2023-10-01,13,43256.0
