campagne,dept_code,stock_production_total,stock_aop_total,stock_igp_total,stock_vsig_total,stock_rose_total,stock_rouge_total,stock_blanc_total,nb_declarants,prod_commercialisable,prod_total,prod_aop_total,prod_igp_total,prod_vsig_total,prod_rose_total,superficie_totale_ha,annual_sortie_hl,stock_commerce,stock_start,implied_absorption,gap_sortie_vs_absorption,stock_turnover_months,stock_to_sortie_ratio,yield_hl_per_ha,rose_pct_production,rose_pct_stock
2019-2020,13,248267.56,146807.26,95412.73999999999,6047.56,133603.17999999996,95188.89000000001,19475.489999999998,158.0,590684.3,612564.28,340409.01,246284.53999999998,3957.48,487968.0,10789.092300000002,531981.0,51291.0,,,,5.600220158238734,0.4666850131865612,54.74828498779271,82.61062635319746,53.81419143121234
2020-2021,13,297224.79,164329.22999999998,124286.11,8609.45,179856.05000000002,93694.19,23674.55,161.0,726674.39,759688.35,373402.83,318558.94,34361.37,604017.1,11032.1198,619835.0,51754.0,248267.56,677717.1599999999,-57882.159999999916,5.75426924907435,0.4795224374228625,65.8689719812506,83.1207358222711,60.51179311120046
2021-2022,13,256572.25,144718.48,102879.36000000002,8974.41,148700.9,89680.52,18190.83,143.0,586463.51,610173.92,332101.67000000004,237421.49999999994,16864.91,466996.69,11097.3437,580959.0,48607.0,297224.79,627116.05,-46157.05000000005,5.299628717344942,0.4416357264454118,52.8471971179914,79.62928332915375,57.95673538350309
2022-2023,13,322345.45000000007,173512.95,139876.3,8956.2,192554.78000000003,104700.2,25090.469999999998,161.0,697321.3299999997,729475.7799999998,369712.33999999985,303001.9099999999,24475.810000000005,557041.9999999998,11209.137400000003,609859.0,70151.0,256572.25,631548.1299999997,-21689.129999999655,6.342688063962327,0.5285573386635273,62.21007960880197,79.88311500524442,59.73553527744846
2023-2024,13,319957.23,194738.08000000002,112064.84,13154.31,186342.4,104094.72,29520.11,167.0,672872.3500000001,704321.8000000004,355361.26999999996,289330.13000000024,28140.950000000008,526131.5000000002,11344.077999999996,591746.0,71575.0,322345.45000000007,675260.5700000002,-83514.57000000018,6.4884034028113415,0.5407002835676118,59.314855733537826,78.19187398620261,58.23978411114511
2024-2025,13,255145.83000000002,150941.14,94893.0,9311.69,127011.94000000002,96070.35,32063.54,170.0,551393.4599999998,575499.0500000005,293196.7699999998,231802.15999999995,26391.15,428168.3699999997,11520.456000000002,606360.0,52970.0,319957.23,616204.8599999999,-9844.85999999987,5.049393033841283,0.4207827528201069,47.86212108270712,77.65205811472626,49.78013554052598
2019-2020,83,591559.98,442903.6399999999,139574.79,9081.55,387965.26999999984,172739.06999999998,30855.640000000003,542.0,1273634.47,1322535.4,992957.6100000001,269663.66000000003,10566.96,1106274.2600000002,27891.585400000007,1320954.0,157688.0,,,,5.373934111255956,0.44782784260466296,45.66375312605929,86.85963563784516,65.58342063639935
2020-2021,83,617843.8,453701.32999999996,152815.46,11327.01,427374.98,162761.9,27706.920000000002,545.0,1215326.55,1259140.32,931511.13,267839.23000000004,15786.84,1076381.47,27843.339,1526119.0,143923.0,591559.98,1189042.73,337076.27,4.858156932716256,0.40484641105968805,43.64873587898348,88.56726367082163,69.17201078978214
2021-2022,83,601101.01,446449.6,138673.25,15978.16,418649.97,153572.32,28878.72,540.0,1259353.7200000002,1311392.3500000003,972260.43,270928.12000000005,14988.099999999999,1109003.08,27911.8329,1671779.0,170007.0,617843.8,1276096.5100000002,395682.48999999976,4.3146923845795415,0.35955769871496174,45.11899037630023,88.06128591099885,69.64719124328205
2022-2023,83,604322.39,438138.23,151490.24000000002,14693.919999999998,428678.18,146109.57,29534.640000000003,521.0,1351688.5699999998,1414879.4499999997,998018.9,333769.96999999974,16724.42,1177580.2399999998,28279.15230000002,1669807.0,174319.0,601101.01,1348467.19,321339.81000000006,4.342938243761105,0.36191152031342544,47.79805828903856,87.11919787854683,70.93534628098091
2023-2024,83,572778.6799999999,446663.31000000006,109674.24,16441.13,395993.70000000007,138967.76,37817.22,530.0,1151070.7999999996,1214643.8399999985,888740.59,247816.39999999985,13271.8,988772.6299999999,28306.850600000016,1460822.0,158467.0,604322.39,1182614.5099999995,278207.49000000046,4.705120925068214,0.3920934104223512,40.66403628809201,85.90024436376983,69.13555162353461
2024-2025,83,530784.5499999999,396708.75999999995,109219.31,24856.48,345183.52999999997,146888.78999999998,38712.23,513.0,1180963.3299999998,1245053.1699999971,879272.5399999997,286649.1000000002,15041.690000000002,1014845.5299999999,28544.371000000003,1657131.0,151307.0,572778.6799999999,1222957.46,434173.54000000004,3.843639760525872,0.320303313377156,41.37289730434066,85.93370380094699,65.0327011213872
