country,year,commodity,flow,trade_usd,weight_kg,qty_name,quantity,commodity_short,volume_litres,price_per_litre,price_per_bottle_750ml
France,2024,Wine; sparkling,Export,4657652100.617,218124647.52,Volume in litres,207671287.642,Sparkling,207671287.642,22.42800222169482,16.821001666271115
France,2024,Wine; sparkling,Import,175430054.784,42102658.929,Volume in litres,41961721.0,Sparkling,41961721.0,4.180716391112748,3.135537293334561
France,2024,"Wine; still, in containers holding 2 litres or less",Import,509956684.943,,No Quantity,,Still_Bottled,,,
France,2024,"Wine; still, in containers holding 2 litres or less",Export,7643318162.424,929651074.929,Volume in litres,903189036.359,Still_Bottled,903189036.359,8.462589618266724,6.346942213700043
France,2024,"Wine; still, in containers holding more than 2 litres but not more than 10 litres",Export,164376954.378,,No Quantity,,Still_2to10L,,,
France,2024,"Wine; still, in containers holding more than 2 litres but not more than 10 litres",Import,24483683.047,,No Quantity,,Still_2to10L,,,
France,2024,"Wine; still, in containers holding more than 10 litres",Export,192576872.754,128673393.538,No Quantity,,Still_Bulk,128673393.538,1.4966332002204321,1.122474900165324
France,2024,"Wine; still, in containers holding more than 10 litres",Import,251981314.321,387127024.113,Volume in litres,381330156.904,Still_Bulk,381330156.904,0.6607956642265679,0.49559674816992594
France,2023,Wine; sparkling,Export,4898519942.5,221252524.0,Volume in litres,209972752.0,Sparkling,209972752.0,23.329312474315714,17.496984355736785
France,2023,Wine; sparkling,Import,176597214.488,39549894.0,Volume in litres,39520371.0,Sparkling,39520371.0,4.468511049352244,3.3513832870141833
France,2023,"Wine; still, in containers holding 2 litres or less",Import,582034091.6,,No Quantity,,Still_Bottled,,,
France,2023,"Wine; still, in containers holding 2 litres or less",Export,7534701498.392,912741357.0,Volume in litres,893018672.356,Still_Bottled,893018672.356,8.437339253515976,6.328004440136982
France,2023,"Wine; still, in containers holding more than 2 litres but not more than 10 litres",Export,152717208.875,53688431.803,Volume in litres,44464755.923,Still_2to10L,44464755.923,3.434567573910935,2.575925680433201
France,2023,"Wine; still, in containers holding more than 2 litres but not more than 10 litres",Import,20532101.698,19526421.811,Volume in litres,17255815.398,Still_2to10L,17255815.398,1.1898656322192536,0.8923992241644402
France,2023,"Wine; still, in containers holding more than 10 litres",Import,250147836.224,,No Quantity,,Still_Bulk,,,
France,2023,"Wine; still, in containers holding more than 10 litres",Export,191934704.945,116611856.0,Volume in litres,114787764.482,Still_Bulk,114787764.482,1.6720833079304154,1.2540624809478116
France,2022,Wine; sparkling,Export,4887704117.263,249669602.0,Volume in litres,237054479.0,Sparkling,237054479.0,20.618484568954294,15.46386342671572
France,2022,Wine; sparkling,Import,138787875.244,35929415.0,Volume in litres,35764602.0,Sparkling,35764602.0,3.8805933096641194,2.9104449822480896
France,2022,"Wine; still, in containers holding 2 litres or less",Import,616986023.704,101635982.795,Volume in litres,100236749.101,Still_Bottled,100236749.101,6.1552876488673425,4.616465736650507
France,2022,"Wine; still, in containers holding 2 litres or less",Export,7707637913.587,1029054651.448,Volume in litres,1005411807.844,Still_Bottled,1005411807.844,7.666150181899315,5.749612636424486
France,2022,"Wine; still, in containers holding more than 2 litres but not more than 10 litres",Export,140212680.579,48122857.367,Volume in litres,43296375.546,Still_2to10L,43296375.546,3.238439218313593,2.428829413735195
France,2022,"Wine; still, in containers holding more than 2 litres but not more than 10 litres",Import,18496601.213,19335984.004,Volume in litres,16292113.944,Still_2to10L,16292113.944,1.1353100817105357,0.8514825612829018
France,2022,"Wine; still, in containers holding more than 10 litres",Export,195626056.054,,No Quantity,,Still_Bulk,,,
France,2022,"Wine; still, in containers holding more than 10 litres",Import,266282921.216,464020285.529,Volume in litres,459116270.726,Still_Bulk,459116270.726,0.5799901641362593,0.43499262310219444
France,2021,Wine; sparkling,Export,4630034827.776,241487829.0,Volume in litres,226356613.0,Sparkling,226356613.0,20.454603761790693,15.34095282134302
France,2021,Wine; sparkling,Import,135554998.812,33991266.0,Volume in litres,33953083.0,Sparkling,33953083.0,3.9924209183596084,2.9943156887697064
France,2021,"Wine; still, in containers holding 2 litres or less",Export,8046984871.454,1057017711.938,Volume in litres,1024462142.989,Still_Bottled,1024462142.989,7.854838684400663,5.891129013300498
France,2021,"Wine; still, in containers holding 2 litres or less",Import,588780987.436,98808344.267,Volume in litres,99579226.625,Still_Bottled,99579226.625,5.912688894976643,4.434516671232482
France,2021,"Wine; still, in containers holding more than 2 litres but not more than 10 litres",Export,155612241.339,,No Quantity,,Still_2to10L,,,
France,2021,"Wine; still, in containers holding more than 2 litres but not more than 10 litres",Import,18481562.769,19235850.942,Volume in litres,16549136.383,Still_2to10L,16549136.383,1.1167690169007898,0.8375767626755923
France,2021,"Wine; still, in containers holding more than 10 litres",Export,265099584.581,164788838.98,Volume in litres,163948617.238,Still_Bulk,163948617.238,1.6169674929076208,1.2127256196807155
France,2021,"Wine; still, in containers holding more than 10 litres",Import,229294549.861,443995118.186,Volume in litres,441022406.131,Still_Bulk,441022406.131,0.5199158742807526,0.38993690571056444
France,2020,Wine; sparkling,Export,3188494725.258,191312948.0,Volume in litres,170557467.0,Sparkling,170557467.0,18.694547833886393,14.020910875414796
France,2020,Wine; sparkling,Import,106055921.993,32450238.0,Volume in litres,28627316.0,Sparkling,28627316.0,3.7047106334732884,2.7785329751049663
France,2020,"Wine; still, in containers holding 2 litres or less",Export,6363361334.373,996603685.023,Volume in litres,961292796.147,Still_Bottled,961292796.147,6.619587039326904,4.964690279495178
France,2020,"Wine; still, in containers holding 2 litres or less",Import,474351601.331,97033997.68,Volume in litres,96416471.452,Still_Bottled,96416471.452,4.919819136579285,3.689864352434464
France,2020,"Wine; still, in containers holding more than 2 litres but not more than 10 litres",Import,18747193.043,,No Quantity,,Still_2to10L,,,
France,2020,"Wine; still, in containers holding more than 2 litres but not more than 10 litres",Export,136797823.509,51345847.0,Volume in litres,49231342.0,Still_2to10L,49231342.0,2.778673461897504,2.084005096423128
France,2020,"Wine; still, in containers holding more than 10 litres",Export,267029451.189,174627177.978,Volume in litres,173380594.03,Still_Bulk,173380594.03,1.5401345962789583,1.1551009472092186
France,2020,"Wine; still, in containers holding more than 10 litres",Import,273466340.15,487277536.0,Volume in litres,485052982.0,Still_Bulk,485052982.0,0.5637865352820364,0.4228399014615273
France,2019,Wine; sparkling,Import,107050715.457,38342200.491,No Quantity,,Sparkling,38342200.491,2.7919815265200505,2.093986144890038
France,2019,Wine; sparkling,Export,3856016770.579,213278530.716,Volume in litres,218141583.957,Sparkling,218141583.957,17.67666989774447,13.257502423308352
France,2019,"Wine; still, in containers holding 2 litres or less",Export,6756920697.364,1053737021.826,Volume in litres,1074042262.932,Still_Bottled,1074042262.932,6.2911124920898915,4.718334369067419
France,2019,"Wine; still, in containers holding 2 litres or less",Import,553124529.686,113849192.106,Volume in litres,114180459.798,Still_Bottled,114180459.798,4.844301123542056,3.6332258426565422
France,2019,"Wine; still, in containers holding more than 2 litres but not more than 10 litres",Export,125691715.747,,No Quantity,,Still_2to10L,,,
France,2019,"Wine; still, in containers holding more than 2 litres but not more than 10 litres",Import,16138384.412,,No Quantity,,Still_2to10L,,,
France,2019,"Wine; still, in containers holding more than 10 litres",Export,224608130.462,,No Quantity,,Still_Bulk,,,
France,2019,"Wine; still, in containers holding more than 10 litres",Import,293654429.373,561287149.0,Volume in litres,561287149.0,Still_Bulk,561287149.0,0.5231803897455704,0.39238529230917774
Italy,2024,Wine; sparkling,Re-Export,588664.519,140019.0,Volume in litres,151493.0,Sparkling,151493.0,3.885753922623487,2.9143154419676156
Italy,2024,Wine; sparkling,Export,2584844251.945,555596971.0,Volume in litres,553106312.0,Sparkling,553106312.0,4.673322643161231,3.504991982370923
Italy,2024,Wine; sparkling,Import,338077921.53,12342052.0,Volume in litres,11294372.0,Sparkling,11294372.0,29.933308512416623,22.449981384312466
Italy,2024,"Wine; still, in containers holding 2 litres or less",Re-Export,307436.099,62003.0,Volume in litres,62003.0,Still_Bottled,62003.0,4.958406835153138,3.7188051263648534
Italy,2024,"Wine; still, in containers holding 2 litres or less",Export,5741863053.065,1201242729.569,Volume in litres,1196877642.0,Still_Bottled,1196877642.0,4.797368462385397,3.598026346789048
Italy,2024,"Wine; still, in containers holding 2 litres or less",Import,139892884.921,22063664.733,Volume in litres,21393588.038,Still_Bottled,21393588.038,6.539009944125204,4.904257458093903
Italy,2024,"Wine; still, in containers holding more than 2 litres but not more than 10 litres",Import,2074951.484,,No Quantity,,Still_2to10L,,,
Italy,2024,"Wine; still, in containers holding more than 2 litres but not more than 10 litres",Export,116756397.138,46430874.0,Volume in litres,44655735.0,Still_2to10L,44655735.0,2.6145890810665193,1.9609418107998895
Italy,2024,"Wine; still, in containers holding more than 10 litres",Re-Export,24959.693,10040.0,Volume in litres,10040.0,Still_Bulk,10040.0,2.486025199203187,1.8645188994023902
Italy,2024,"Wine; still, in containers holding more than 10 litres",Export,328964390.257,359995966.083,Volume in litres,360437191.507,Still_Bulk,360437191.507,0.9126815933771675,0.6845111950328756
Italy,2024,"Wine; still, in containers holding more than 10 litres",Import,113650567.422,209657260.649,Volume in litres,208989838.237,Still_Bulk,208989838.237,0.5438090597166608,0.4078567947874956
Italy,2023,Wine; sparkling,Re-Export,565562.958,122500.0,Volume in litres,122500.0,Sparkling,122500.0,4.616840473469388,3.462630355102041
Italy,2023,Wine; sparkling,Export,2396586800.841,502872712.0,Volume in litres,500146115.0,Sparkling,500146115.0,4.791773301770024,3.593829976327518
Italy,2023,Wine; sparkling,Import,389094746.461,14038263.0,Volume in litres,12568779.0,Sparkling,12568779.0,30.957243059250228,23.21793229443767
Italy,2023,"Wine; still, in containers holding 2 litres or less",Re-Export,17979.335,2771.0,Volume in litres,2771.0,Still_Bottled,2771.0,6.488392277156261,4.866294207867195
Italy,2023,"Wine; still, in containers holding 2 litres or less",Export,5512628125.789,1170230590.0,Volume in litres,1165361183.0,Still_Bottled,1165361183.0,4.73040307692229,3.5478023076917173
Italy,2023,"Wine; still, in containers holding 2 litres or less",Import,126257799.124,17953189.88,Volume in litres,17519572.764,Still_Bottled,17519572.764,7.206671122907755,5.405003342180816
Italy,2023,"Wine; still, in containers holding more than 2 litres but not more than 10 litres",Import,1563821.505,,No Quantity,,Still_2to10L,,,
Italy,2023,"Wine; still, in containers holding more than 2 litres but not more than 10 litres",Export,131052346.382,48891146.41,Volume in litres,47113641.099,Still_2to10L,47113641.099,2.781622123126069,2.0862165923445515
Italy,2023,"Wine; still, in containers holding more than 10 litres",Export,323743939.362,,No Quantity,,Still_Bulk,,,
Italy,2023,"Wine; still, in containers holding more than 10 litres",Import,74799722.708,138305751.282,Volume in litres,137512222.417,Still_Bulk,137512222.417,0.5439496314820148,0.40796222361151113
Italy,2022,Wine; sparkling,Re-Export,662767.747,190951.0,Volume in litres,196691.0,Sparkling,196691.0,3.369588578023397,2.527191433517548
Italy,2022,Wine; sparkling,Export,2260486782.567,513745279.0,Volume in litres,511687011.0,Sparkling,511687011.0,4.417713824998774,3.3132853687490806
Italy,2022,Wine; sparkling,Import,302648456.112,12288153.0,Volume in litres,11613033.0,Sparkling,11613033.0,26.061103599033945,19.54582769927546
Italy,2022,"Wine; still, in containers holding 2 litres or less",Export,5516707747.807,1213735942.466,Volume in litres,1214458101.843,Still_Bottled,1214458101.843,4.542526201138701,3.4068946508540257
Italy,2022,"Wine; still, in containers holding 2 litres or less",Re-Export,210673.962,33344.0,Volume in litres,33344.0,Still_Bottled,33344.0,6.318197036948177,4.738647777711132
Italy,2022,"Wine; still, in containers holding 2 litres or less",Import,107750672.695,16988785.68,Volume in litres,16748027.976,Still_Bottled,16748027.976,6.433633431315448,4.825225073486585
Italy,2022,"Wine; still, in containers holding more than 2 litres but not more than 10 litres",Export,118404229.841,50294137.39,Volume in litres,47694730.776,Still_2to10L,47694730.776,2.4825432058121826,1.8619074043591368
Italy,2022,"Wine; still, in containers holding more than 2 litres but not more than 10 litres",Import,1058255.955,1101797.0,Volume in litres,1078555.401,Still_2to10L,1078555.401,0.9811790419099667,0.7358842814324751
Italy,2022,"Wine; still, in containers holding more than 10 litres",Export,314493564.11,363887796.233,Volume in litres,364816769.301,Still_Bulk,364816769.301,0.862058958289059,0.6465442187167942
Italy,2022,"Wine; still, in containers holding more than 10 litres",Import,73873976.114,159330996.744,Volume in litres,160611587.996,Still_Bulk,160611587.996,0.4599542102518768,0.34496565768890763
Italy,2021,Wine; sparkling,Re-Export,133818.787,38375.0,Volume in litres,38375.0,Sparkling,38375.0,3.487134514657981,2.6153508859934855
Italy,2021,Wine; sparkling,Export,2148611116.648,491197726.0,Volume in litres,489290173.0,Sparkling,489290173.0,4.391281973791041,3.2934614803432805
Italy,2021,Wine; sparkling,Import,273313808.287,12642104.0,Volume in litres,11949466.0,Sparkling,11949466.0,22.872470475835488,17.154352856876617
Italy,2021,"Wine; still, in containers holding 2 litres or less",Re-Export,117754.808,16545.0,Volume in litres,16545.0,Still_Bottled,16545.0,7.11724436385615,5.337933272892112
Italy,2021,"Wine; still, in containers holding 2 litres or less",Export,5827453554.135,1264074470.0,Volume in litres,1265792454.0,Still_Bottled,1265792454.0,4.603798620950698,3.4528489657130237
Italy,2021,"Wine; still, in containers holding 2 litres or less",Import,110032307.398,22497680.235,Volume in litres,22878509.045,Still_Bottled,22878509.045,4.809417745779508,3.607063309334631
Italy,2021,"Wine; still, in containers holding more than 2 litres but not more than 10 litres",Import,968893.766,,No Quantity,,Still_2to10L,,,
Italy,2021,"Wine; still, in containers holding more than 2 litres but not more than 10 litres",Export,123568268.764,51184513.766,Volume in litres,48508420.786,Still_2to10L,48508420.786,2.5473570724789085,1.9105178043591815
Italy,2021,"Wine; still, in containers holding more than 10 litres",Export,317284229.001,372860295.595,Volume in litres,373742774.323,Still_Bulk,373742774.323,0.8489374264846474,0.6367030698634856
Italy,2021,"Wine; still, in containers holding more than 10 litres",Import,98342765.692,239235868.865,Volume in litres,240704861.009,Still_Bulk,240704861.009,0.4085616105954875,0.30642120794661565
Italy,2020,Wine; sparkling,Re-Export,463852.649,111918.0,Volume in litres,111918.0,Sparkling,111918.0,4.14457593059204,3.1084319479440303
Italy,2020,Wine; sparkling,Export,1682830096.426,408356794.0,Volume in litres,408122377.0,Sparkling,408122377.0,4.1233467980757155,3.0925100985567866
Italy,2020,Wine; sparkling,Import,174231263.158,7520746.059,Volume in litres,6911505.025,Sparkling,6911505.025,25.2088745544969,18.906655915872676
Italy,2020,"Wine; still, in containers holding 2 litres or less",Re-Export,180018.085,25945.0,Volume in litres,25945.0,Still_Bottled,25945.0,6.938449990364232,5.203837492773173
Italy,2020,"Wine; still, in containers holding 2 litres or less",Export,5046864191.664,1197785835.0,Volume in litres,1198015354.0,Still_Bottled,1198015354.0,4.212687404058095,3.1595155530435717
Italy,2020,"Wine; still, in containers holding 2 litres or less",Import,74027361.811,19074807.0,Volume in litres,19163927.0,Still_Bottled,19163927.0,3.8628492902837714,2.8971369677128287
Italy,2020,"Wine; still, in containers holding more than 2 litres but not more than 10 litres",Export,128528817.897,56496120.0,Volume in litres,53555493.78,Still_2to10L,53555493.78,2.3999184551445283,1.7999388413583963
Italy,2020,"Wine; still, in containers holding more than 2 litres but not more than 10 litres",Import,589342.297,169849.0,Volume in litres,106344.801,Still_2to10L,106344.801,5.541806383181816,4.156354787386363
Italy,2020,"Wine; still, in containers holding more than 10 litres",Export,308912961.839,378214976.813,Volume in litres,378823284.045,Still_Bulk,378823284.045,0.8154539988685187,0.611590499151389
Italy,2020,"Wine; still, in containers holding more than 10 litres",Import,67239173.337,127393770.497,Volume in litres,127890820.086,Still_Bulk,127890820.086,0.5257544934951947,0.394315870121396
Italy,2019,Wine; sparkling,Import,218586812.308,9223341.0,Volume in litres,8904197.0,Sparkling,8904197.0,24.54873946611918,18.411554599589387
Italy,2019,Wine; sparkling,Export,1767753470.658,417842655.0,Volume in litres,417917814.0,Sparkling,417917814.0,4.229906961223721,3.1724302209177906
Italy,2019,Wine; sparkling,Re-Export,411747.542,125559.0,Volume in litres,125559.0,Sparkling,125559.0,3.279315238254526,2.4594864286908944
Italy,2019,"Wine; still, in containers holding 2 litres or less",Import,77622670.388,18550329.437,Volume in litres,18507194.471,Still_Bottled,18507194.471,4.194188941475245,3.1456417061064337
Italy,2019,"Wine; still, in containers holding 2 litres or less",Re-Export,302979.351,71876.0,Volume in litres,71876.0,Still_Bottled,71876.0,4.215306235739329,3.161479676804497
Italy,2019,"Wine; still, in containers holding 2 litres or less",Export,4950001710.661,1201900504.0,Volume in litres,1194940642.0,Still_Bottled,1194940642.0,4.142466610204225,3.1068499576531687
Italy,2019,"Wine; still, in containers holding more than 2 litres but not more than 10 litres",Import,212273.987,64144.146,No Quantity,,Still_2to10L,64144.146,3.3093275105728277,2.4819956329296207
Italy,2019,"Wine; still, in containers holding more than 2 litres but not more than 10 litres",Export,104161478.165,45228466.973,Volume in litres,42068605.435,Still_2to10L,42068605.435,2.475990755765351,1.8569930668240133
Italy,2019,"Wine; still, in containers holding more than 10 litres",Import,58398433.748,110604753.0,Volume in litres,110989575.0,Still_Bulk,110989575.0,0.5261614322606425,0.39462107419548187
Italy,2019,"Wine; still, in containers holding more than 10 litres",Export,328941908.378,452275490.69,Volume in litres,453534273.153,Still_Bulk,453534273.153,0.7252856682498862,0.5439642511874146
Portugal,2024,Wine; sparkling,Import,34153600.498,6463650.0,Volume in litres,6492790.0,Sparkling,6492790.0,5.260234891009874,3.945176168257406
Portugal,2024,Wine; sparkling,Export,12852373.397,2681768.0,Volume in litres,2677984.0,Sparkling,2677984.0,4.799271913872525,3.599453935404394
