campagne,dept_code,stock_production_total,stock_aop_total,stock_igp_total,stock_vsig_total,stock_rose_total,stock_rouge_total,stock_blanc_total,nb_declarants,prod_commercialisable,prod_total,prod_aop_total,prod_igp_total,prod_vsig_total,prod_rose_total,superficie_totale_ha,annual_sortie_hl,stock_commerce,stock_start,implied_absorption,gap_sortie_vs_absorption,stock_turnover_months,stock_to_sortie_ratio,yield_hl_per_ha,rose_pct_production,rose_pct_stock
2023-2024,34,2171928.17,523697.6,1435208.46,213022.11000000002,369454.99,1289731.31,512741.87,1103.0,4210390.740000004,4241048.3599999985,491420.3000000001,3447649.2600000044,271321.18000000005,1289777.210000002,78835.59109999977,4846254.0,,2465644.2800000007,4504106.850000005,342147.1499999948,5.377996704258588,0.448166392021549,53.40723246001026,30.633195103407452,17.010460801749257
2024-2025,34,2276848.6599999997,524205.09,1487875.92,264767.65,461097.33,1251074.32,564677.01,1065.0,4264873.500000003,4362753.019999992,491498.2899999998,3427496.110000003,345484.7999999999,1419588.0599999996,77963.46080000002,5127402.0,,2171928.17,4159953.010000003,967448.989999997,5.328660385903036,0.44405503215858627,54.70349130525003,33.28558420314222,20.25155813386385
2019-2020,83,591559.98,442903.6399999999,139574.79,9081.55,387965.26999999984,172739.06999999998,30855.640000000003,542.0,1273634.47,1322535.4,992957.6100000001,269663.66000000003,10566.96,1106274.2600000002,27891.585400000007,1320954.0,157688.0,,,,5.373934111255956,0.44782784260466296,45.66375312605929,86.85963563784516,65.58342063639935
2020-2021,83,617843.8,453701.32999999996,152815.46,11327.01,427374.98,162761.9,27706.920000000002,545.0,1215326.55,1259140.32,931511.13,267839.23000000004,15786.84,1076381.47,27843.339,1526119.0,143923.0,591559.98,1189042.73,337076.27,4.858156932716256,0.40484641105968805,43.64873587898348,88.56726367082163,69.17201078978214
2021-2022,83,601101.01,446449.6,138673.25,15978.16,418649.97,153572.32,28878.72,540.0,1259353.7200000002,1311392.3500000003,972260.43,270928.12000000005,14988.099999999999,1109003.08,27911.8329,1671779.0,170007.0,617843.8,1276096.5100000002,395682.48999999976,4.3146923845795415,0.35955769871496174,45.11899037630023,88.06128591099885,69.64719124328205
2022-2023,83,604322.39,438138.23,151490.24000000002,14693.919999999998,428678.18,146109.57,29534.640000000003,521.0,1351688.5699999998,1414879.4499999997,998018.9,333769.96999999974,16724.42,1177580.2399999998,28279.15230000002,1669807.0,174319.0,601101.01,1348467.19,321339.81000000006,4.342938243761105,0.36191152031342544,47.79805828903856,87.11919787854683,70.93534628098091
2023-2024,83,572778.6799999999,446663.31000000006,109674.24,16441.13,395993.70000000007,138967.76,37817.22,530.0,1151070.7999999996,1214643.8399999985,888740.59,247816.39999999985,13271.8,988772.6299999999,28306.850600000016,1460822.0,158467.0,604322.39,1182614.5099999995,278207.49000000046,4.705120925068214,0.3920934104223512,40.66403628809201,85.90024436376983,69.13555162353461
2024-2025,83,530784.5499999999,396708.75999999995,109219.31,24856.48,345183.52999999997,146888.78999999998,38712.23,513.0,1180963.3299999998,1245053.1699999971,879272.5399999997,286649.1000000002,15041.690000000002,1014845.5299999999,28544.371000000003,1657131.0,151307.0,572778.6799999999,1222957.46,434173.54000000004,3.843639760525872,0.320303313377156,41.37289730434066,85.93370380094699,65.0327011213872
2019-2020,84,1634059.92,1311610.38,283033.67,39415.87000000001,246683.76999999996,1280965.66,106410.48999999999,895.0,1923644.8400000005,1973693.6400000006,1385934.8800000004,486959.25,37914.11,536132.69,46072.29370000001,2432017.0,,,,,8.062739298286154,0.6718949415238462,41.75274737840977,27.870669203157057,15.096372353346746
2020-2021,84,1830651.1,1387953.1,397432.76,45265.240000000005,355745.12000000005,1367859.9300000002,107046.05,882.0,2083077.0899999999,2146058.92,1398838.25,614753.0700000001,55791.57000000001,626005.84,45934.2649,2675251.0,,1634059.92,1886485.9099999997,788765.0900000003,8.211496117560557,0.6842913431300465,45.34908949854556,30.05197661695756,19.432710034151242
2021-2022,84,1552420.9400000004,1215165.1,295719.65,41536.19,274376.63,1198912.9000000001,79131.41,856.0,1583105.84,1625428.0,1169213.94,381020.58999999997,27851.14,389863.88999999996,45806.252700000005,2534130.0,,1830651.1,1861336.0,672794.0,7.35126109552391,0.6126050912936591,34.560911375315364,24.626520864833644,17.674112924552535
2022-2023,84,1780056.08,1362440.51,365271.88,52343.69,289643.44,1389967.7799999998,100444.86000000002,867.0,1957929.8900000004,2013667.7300000002,1328680.5000000002,561542.53,55606.01,474507.1499999999,45256.001300000105,2507598.0,,1552420.9400000004,1730294.750000001,777303.2499999991,8.518380123129784,0.7098650102608154,43.263431009314466,24.235145110328737,16.27159072426527
2023-2024,84,1713132.22,1350174.75,305060.97,57896.5,171276.52000000002,1418316.06,123539.64,876.0,1823573.0899999999,1878775.060000003,1224351.7099999995,517777.8000000004,67591.44999999997,417472.59000000026,45006.250999999866,2562471.0,,1780056.08,1890496.95,671974.05,8.022563627061535,0.6685469689217947,40.51821801376003,22.893109812231344,9.997857608445425
2024-2025,84,1628274.0200000003,1314974.74,259513.65,53785.63,159772.18999999997,1356240.81,112261.01999999999,872.0,1523635.0400000003,1571886.210000007,1090786.5400000005,396467.94,33920.39,382761.30000000005,44747.502700000005,2649456.0,,1713132.22,1608493.24,1040962.76,7.374830244397342,0.6145691870331118,34.04961054955141,25.12158685980338,9.812364997385387
