campagne,dept_code,stock_production_total,stock_aop_total,stock_igp_total,stock_vsig_total,stock_rose_total,stock_rouge_total,stock_blanc_total,nb_declarants,prod_commercialisable,prod_total,prod_aop_total,prod_igp_total,prod_vsig_total,prod_rose_total,superficie_totale_ha,annual_sortie_hl,stock_commerce,stock_start,implied_absorption,gap_sortie_vs_absorption,stock_turnover_months,stock_to_sortie_ratio,yield_hl_per_ha,rose_pct_production,rose_pct_stock
2019-2020,13,248267.56,146807.26,95412.73999999999,6047.56,133603.17999999996,95188.89000000001,19475.489999999998,158.0,590684.3,612564.28,340409.01,246284.53999999998,3957.48,487968.0,10789.092300000002,531981.0,51291.0,,,,5.600220158238734,0.4666850131865612,54.74828498779271,82.61062635319746,53.81419143121234
2020-2021,13,297224.79,164329.22999999998,124286.11,8609.45,179856.05000000002,93694.19,23674.55,161.0,726674.39,759688.35,373402.83,318558.94,34361.37,604017.1,11032.1198,619835.0,51754.0,248267.56,677717.1599999999,-57882.159999999916,5.75426924907435,0.4795224374228625,65.8689719812506,83.1207358222711,60.51179311120046
2021-2022,13,256572.25,144718.48,102879.36000000002,8974.41,148700.9,89680.52,18190.83,143.0,586463.51,610173.92,332101.67000000004,237421.49999999994,16864.91,466996.69,11097.3437,580959.0,48607.0,297224.79,627116.05,-46157.05000000005,5.299628717344942,0.4416357264454118,52.8471971179914,79.62928332915375,57.95673538350309
2022-2023,13,322345.45000000007,173512.95,139876.3,8956.2,192554.78000000003,104700.2,25090.469999999998,161.0,697321.3299999997,729475.7799999998,369712.33999999985,303001.9099999999,24475.810000000005,557041.9999999998,11209.137400000003,609859.0,70151.0,256572.25,631548.1299999997,-21689.129999999655,6.342688063962327,0.5285573386635273,62.21007960880197,79.88311500524442,59.73553527744846
2023-2024,13,319957.23,194738.08000000002,112064.84,13154.31,186342.4,104094.72,29520.11,167.0,672872.3500000001,704321.8000000004,355361.26999999996,289330.13000000024,28140.950000000008,526131.5000000002,11344.077999999996,591746.0,71575.0,322345.45000000007,675260.5700000002,-83514.57000000018,6.4884034028113415,0.5407002835676118,59.314855733537826,78.19187398620261,58.23978411114511
2024-2025,13,255145.83000000002,150941.14,94893.0,9311.69,127011.94000000002,96070.35,32063.54,170.0,551393.4599999998,575499.0500000005,293196.7699999998,231802.15999999995,26391.15,428168.3699999997,11520.456000000002,606360.0,52970.0,319957.23,616204.8599999999,-9844.85999999987,5.049393033841283,0.4207827528201069,47.86212108270712,77.65205811472626,49.78013554052598
2019-2020,33,8752950.330000004,8616516.650000002,40678.35,95755.33000000002,155725.00999999992,8029257.2200000025,567968.1,4054.0,5184541.9,5296319.95,4947568.240000001,21656.23,137161.30000000002,251507.72,115323.02020000003,5117942.0,,,,,20.52297661052041,1.7102480508767008,44.956695471629686,4.8511078674086905,1.7791145171504688
2020-2021,33,8849572.969999997,8651511.5,60887.09,137174.38,176879.89,8135903.54,536789.54,4043.0,4885510.859999998,5000269.269999998,4456600.339999999,62782.3,262081.03999999998,264653.39,114867.8312,5482789.0,,8752950.330000004,4788888.220000004,693900.7799999956,19.368769369020033,1.6140641140850025,42.53158442152251,5.4171078027242405,1.9987392679807474
2021-2022,33,8472050.920000002,8313747.73,50951.17,107352.01999999999,172501.97999999998,7889633.07,409915.87,3905.0,4042486.2800000007,4127937.2800000007,3821016.0400000005,22484.159999999996,174816.11,267706.61,113543.66980000003,4993334.0,,8849572.969999997,4420008.329999996,573325.6700000037,20.360066248322266,1.6966721873601889,35.60292077154617,6.622325753446959,2.0361301133445022
2022-2023,33,8580609.18,8393341.18,52865.86,134402.13999999998,159748.12,8049170.869999999,371690.19,3876.0,4360501.490000004,4446944.650000004,4127936.290000005,47401.57,171007.06,258589.5699999999,112024.0821999997,4867771.0,,8472050.920000002,4251943.230000006,615827.769999994,21.152866509127072,1.7627388757605893,38.92467944718422,5.930271336749381,1.8617340173509684
2023-2024,33,8618181.65,8373204.64,54228.95,190748.06,178045.91,7918065.1,522070.64,3838.0,4227248.639999998,4323646.220000012,3847967.1999999974,56907.31999999999,277322.42000000004,276361.5600000002,109316.31879999975,4739339.0,,8580609.18,4189676.169999996,549662.8300000038,21.821224394372294,1.8184353661976913,38.669877346802934,6.537622542117615,2.065933595168535
2024-2025,33,8535794.450000001,8275522.899999999,69644.66,190626.89,186208.69,7796534.52,553051.24,3731.0,3568471.5099999984,3646298.2300000046,3329546.189999998,62027.73000000001,166216.96000000005,216649.56000000006,100739.8330999994,4308355.0,,8618181.65,3650858.709999997,657496.2900000028,23.77462706763951,1.9812189223032923,35.42264663529624,6.071214507188265,2.1815039137921133
2019-2020,34,2104475.8000000003,556553.48,1294081.2000000007,253841.11999999994,359946.82000000007,1318045.0400000007,426483.9399999998,1137.0,4651482.169999999,4774508.229999999,613160.7999999999,3776108.799999999,262212.57000000007,1350317.92,81305.7739,5074673.0,,,,,4.976421062007345,0.4147017551672788,57.20973981160272,29.029841900909624,17.103870712126984
2020-2021,34,2380704.2399999998,571475.08,1552000.5,257228.66000000003,526645.69,1357008.72,497049.83,1192.0,4990017.95,5118980.26,570037.59,4011693.33,408287.03,1545817.1099999996,81153.03339999999,5385774.0,,2104475.8000000003,4713789.51,671984.4900000002,5.304428087773456,0.4420356739811213,61.488988654366196,30.978187363033427,22.121424457159787
2021-2022,34,1749483.49,511237.85,1096862.75,141382.89,387510.45999999996,1066246.6600000001,295726.37,1101.0,3424550.8,3521876.61,501972.86999999994,2748743.29,173834.64,1085334.2200000002,79978.75810000002,4672585.0,,2380704.2399999998,4055771.549999999,616813.4500000011,4.492973777898102,0.37441448149150847,42.818254263440465,31.692746972829262,22.149992395755618
2022-2023,34,2465644.2800000007,567709.86,1614957.54,282976.88,508744.16000000003,1492136.8100000003,464763.31000000006,1052.0,5176789.400000003,5312177.4700000025,552089.9099999997,4011772.0400000038,612927.4499999997,1471027.4900000028,79398.96389999996,5101930.0,,1749483.49,4460628.610000003,641301.3899999969,5.799321307818808,0.4832767756515673,65.19970974079683,28.41582641936336,20.63331536210081
